participant_id	age	sex	group
sub-1003	18	F	control
sub-1001	19	F	control
sub-1010	22	M	control
sub-1002	21	M	control
sub-1006	20	M	control
sub-1004	18	F	control
sub-1013	18	F	control
sub-1007	21	F	control
sub-1009	20	F	control
sub-3218	23	M	control
sub-3220	22	F	control
sub-1011	22	M	control
sub-1012	19	F	control
sub-1015	21	F	control
sub-1016	22	F	control
sub-1019	18	F	control
sub-1240	20	F	control
sub-1245	20	F	control
sub-1247	21	F	control
sub-1242	20	F	control
sub-1251	21	M	control
sub-1021	21	F	control
sub-1244	26	F	control
sub-1243	24	F	control
sub-1248	23	M	control
sub-1249	19	F	control
sub-1253	19	F	control
sub-1276	21	F	control
sub-1255	19	F	control
sub-1282	20	F	control
sub-1286	22	F	control
sub-1294	21	F	control
sub-1300	20	F	control
sub-3101	22	F	control
sub-1301	22	F	control
sub-1302	23	F	control
sub-1303	20	F	control
sub-3116	20	F	control
sub-3122	20	F	control
sub-3125	21	M	control
sub-3140	23	F	control
sub-3143	21	F	control
sub-3152	22	F	control
sub-3164	20	M	control
sub-3166	21	F	control
sub-3167	21	F	control
sub-3170	19	F	control
sub-3173	18	M	control
sub-3175	18	F	control
sub-3186	18	F	control
sub-3176	19	F	control
sub-3189	23	M	control
sub-3190	19	F	control
sub-3199	20	F	control
sub-3200	18	M	control
sub-3206	19	M	control
sub-3210	18	M	control
sub-3212	19	F	control
sub-3223	19	F	control
