sub,run1_ntrials,run2_ntrials,run1_nmisses,run2_misses,nfiles
1001,72,72,1,0,3
1002,72,0,0,0,3
1003,72,0,32,0,1
1004,72,72,15,40,3
1006,72,72,0,0,3
1007,72,72,0,1,3
1009,72,72,0,0,3
1010,72,72,0,0,3
1011,72,72,0,2,3
1012,72,72,1,1,3
1013,72,72,1,1,3
1015,72,72,0,0,3
1016,72,72,1,0,3
1019,72,72,0,1,3
1021,72,72,2,2,3
1240,0,0,0,0,0
1242,72,72,0,0,3
1243,72,72,0,0,3
1244,72,72,0,0,3
1245,0,0,0,0,0
1247,0,0,0,0,0
1248,72,72,0,0,3
1249,72,72,0,0,3
1251,72,72,0,0,3
1253,72,72,3,0,2
1255,72,72,11,6,3
1276,72,72,2,1,3
1282,72,72,0,0,4
1286,72,72,0,0,3
1294,72,72,1,0,3
1300,72,72,3,6,3
1301,72,72,3,2,3
1302,72,72,1,0,3
1303,72,72,2,1,3
3101,0,0,0,0,0
3116,72,72,0,0,3
3122,72,72,0,3,4
3125,72,72,0,0,4
3140,72,72,0,4,4
3143,72,72,0,1,3
3152,72,72,0,0,4
3164,72,72,0,0,3
3166,72,72,2,1,3
3167,72,72,0,0,3
3170,72,72,0,0,3
3173,72,72,1,0,3
3175,0,0,0,0,0
3176,72,72,0,1,3
3186,0,0,0,0,2
3189,72,72,1,0,3
3190,72,72,0,1,3
3199,72,72,0,0,3
3200,72,72,0,1,4
3206,72,72,1,1,3
3210,72,72,2,0,3
3212,72,72,4,0,3
3218,72,72,0,1,3
3220,72,72,0,0,2
3223,0,0,0,0,0
